"ArrayRegularity","NRL","Shift","ORF"
0,NA,NA,"YDL247W"
0,NA,NA,"YDL245C"
0.36,146,62,"YDL244W"
0.92,164,-3,"YDL240W"
0.84,164,18,"YDL238C"
0.78,165,9,"YDL237W"
0.82,166,8,"YDL236W"
0.82,168,8,"YDL235C"
0.88,163,-3,"YDL234C"
0.76,166,0,"YDL232W"
0.91,162,-2,"YDL231C"
0.86,162,0,"YDL230W"
0.6,167,-13,"YDL229W"
0.86,172,-8,"YDL227C"
0.76,163,0,"YDL226C"
0.94,164,-4,"YDL225W"
0.84,160,1,"YDL224C"
0.77,178,-24,"YDL222C"
0.94,165,0,"YDL220C"
0.9,166,-4,"YDL219W"
0.93,165,19,"YDL217C"
0.83,163,10,"YDL216C"
0.89,172,8,"YDL214C"
0.9,169,-3,"YDL213C"
0.93,165,4,"YDL212W"
0.89,182,-11,"YDL210W"
0.94,161,2,"YDL209C"
0.66,147,17,"YDL208W"
0.93,170,4,"YDL207W"
0.86,167,19,"YDL205C"
0.9,175,0,"YDL204W"
0.93,165,6,"YDL203C"
0.82,160,2,"YDL202W"
0.9,161,0,"YDL201W"
0.93,172,-8,"YDL200C"
0.85,162,-22,"YDL198C"
0.81,169,-3,"YDL197C"
0.75,164,0,"YDL195W"
0.93,167,-6,"YDL194W"
0.94,168,7,"YDL193W"
0.88,157,6,"YDL192W"
0.68,158,0,"YDL191W"
0.87,163,0,"YDL190C"
0.95,169,1,"YDL189W"
0.89,170,10,"YDL188C"
0.92,159,0,"YDL185W"
0.78,159,0,"YDL184C"
0.9,160,-4,"YDL183C"
0.73,172,-1,"YDL182W"
0.61,151,0,"YDL181W"
0.88,169,8,"YDL179W"
0.84,162,0,"YDL178W"
0.9,168,6,"YDL176W"
0.91,166,-1,"YDL175C"
0.66,158,-8,"YDL174C"
0.74,184,7,"YDL173W"
0.67,160,-30,"YDL171C"
0.75,162,-4,"YDL170W"
0.86,166,-11,"YDL169C"
0.97,170,4,"YDL168W"
0.91,162,4,"YDL167C"
0.74,159,-11,"YDL166C"
0.89,173,-7,"YDL165W"
0.89,167,0,"YDL164C"
0.87,166,-7,"YDL161W"
0.93,160,0,"YDL160C"
0.89,160,0,"YDL159W"
0.93,166,0,"YDL155W"
0.87,166,-16,"YDL154W"
0.9,164,0,"YDL153C"
0.88,165,0,"YDL150W"
0.82,164,15,"YDL149W"
0.9,170,8,"YDL148C"
0.84,162,1,"YDL147W"
0.9,165,14,"YDL146W"
0.97,164,0,"YDL145C"
0.88,161,2,"YDL143W"
0.87,165,-1,"YDL142C"
0.89,168,4,"YDL141W"
0.86,166,-5,"YDL140C"
0.71,162,-26,"YDL139C"
0.84,168,46,"YDL138W"
0.83,165,-10,"YDL137W"
0.63,165,-8,"YDL136W"
0.92,170,-1,"YDL135C"
0.95,163,2,"YDL134C"
0.54,166,42,"YDL133C-A"
0.9,161,-8,"YDL132W"
0.77,177,-10,"YDL131W"
0.52,187,-60,"YDL130W-A"
0.75,172,19,"YDL130W"
0.86,158,1,"YDL128W"
0.77,148,16,"YDL127W"
0.82,159,-1,"YDL126C"
0.7,203,31,"YDL125C"
0.79,146,0,"YDL124W"
0.67,208,2,"YDL123W"
0.94,163,0,"YDL122W"
0.86,169,1,"YDL120W"
0.93,171,5,"YDL117W"
0.89,166,3,"YDL116W"
0.9,164,2,"YDL115C"
0.92,164,12,"YDL113C"
0.91,165,5,"YDL112W"
0.95,169,12,"YDL111C"
0.71,168,-19,"YDL110C"
0.8,168,2,"YDL108W"
0.67,170,25,"YDL107W"
0.79,167,0,"YDL106C"
0.92,167,-10,"YDL105W"
0.89,166,7,"YDL104C"
0.92,168,-12,"YDL103C"
0.86,164,-3,"YDL102W"
0.96,167,0,"YDL101C"
0.86,166,-3,"YDL100C"
0.93,166,-5,"YDL099W"
0.94,170,6,"YDL098C"
0.81,162,-23,"YDL097C"
0.93,165,6,"YDL095W"
0.92,171,0,"YDL093W"
0.89,169,-2,"YDL092W"
0.93,165,-6,"YDL091C"
0.8,164,9,"YDL090C"
0.88,169,-11,"YDL089W"
0.9,167,12,"YDL088C"
0.8,161,6,"YDL087C"
0.71,159,19,"YDL085W"
0.89,163,6,"YDL084W"
0.88,166,20,"YDL083C"
0.85,163,-5,"YDL082W"
0.67,167,0,"YDL081C"
0.92,175,1,"YDL080C"
0.73,199,0,"YDL079C"
0.85,167,12,"YDL078C"
0.87,167,-6,"YDL077C"
0.95,170,0,"YDL076C"
0.85,159,13,"YDL075W"
0.8,165,-3,"YDL074C"
0.77,212,-26,"YDL072C"
0.77,157,-5,"YDL070W"
0.67,166,6,"YDL069C"
0.72,161,0,"YDL067C"
0.84,163,-1,"YDL066W"
0.94,168,4,"YDL065C"
0.83,172,8,"YDL064W"
0.94,166,5,"YDL063C"
0.75,149,4,"YDL061C"
0.9,169,6,"YDL060W"
0.8,166,7,"YDL059C"
0.88,164,9,"YDL058W"
0.87,162,3,"YDL056W"
0.72,133,2,"YDL055C"
0.84,171,-10,"YDL054C"
0.9,164,0,"YDL053C"
0.85,150,13,"YDL052C"
